sigma,lambda,psnr,ssim
0.005,0.001,41.289597478084474,0.9681265879827737
0.005,0.002,39.196282819590344,0.9568522520363331
0.005,0.005,36.87792822049253,0.9381309402516479
0.005,0.01,35.4852438795179,0.9218801412039646
0.005,0.02,34.36025804263458,0.9040072082094344
0.01,0.001,40.80853794355549,0.961370825054872
0.01,0.002,39.097336652228876,0.9543887130172253
0.01,0.005,36.859321410015895,0.9372619355698582
0.01,0.01,35.476583537796,0.9215161435756641
0.01,0.02,34.356222997966846,0.9038274588393781
0.05,0.001,28.500141370034157,0.5413786109273462
0.05,0.002,31.931042772165615,0.679432616109099
0.05,0.005,35.05228056855545,0.8418488422204365
0.05,0.01,35.00485271560667,0.8837977224179223
0.05,0.02,34.2120593221387,0.8896375332505204
0.1,0.001,20.400622552814617,0.2621464529425881
0.1,0.002,23.239465796087277,0.338658474032185
0.1,0.005,28.61686122589167,0.5309087406997907
0.1,0.01,32.078491116361725,0.701327422799123
0.1,0.02,33.27832917530008,0.805845796450171
