sigma,lambda,psnr,ssim
0.005,0.005,41.86978685016947,0.9633305083444015
0.005,0.01,40.93448347653833,0.9564411604286231
0.005,0.02,40.073837296704916,0.9489458805796342
0.005,0.05,38.90769294392592,0.9372977425409392
0.01,0.005,41.72528004315684,0.9616267909846545
0.01,0.01,40.853025567756234,0.9549886566002936
0.01,0.02,40.02124781242215,0.9475925917767836
0.01,0.05,38.87467476123857,0.9359290797670624
0.05,0.005,38.76591470811536,0.9122312321399508
0.05,0.01,39.05377302729484,0.9176850538600176
0.05,0.02,38.83537344761195,0.9145039180944664
0.05,0.05,38.10481053265006,0.9046244385006637
0.1,0.005,33.311013688859276,0.7324301538655601
0.1,0.01,35.459681909205266,0.8174157356781773
0.1,0.02,36.38320263233769,0.848097437406824
0.1,0.05,36.51672229984911,0.8533478689647401
